level_code,activity_id,module_id,day_number,activity_type,prompt_text,subtopic_id,resource_urls
EM7,em7_m2_d11_mt,em7_m2,11,math_talk,Number Talk Day 11,em7_m2_s1,{}
EM7,em7_m2_d11_gm,em7_m2,11,growth_mindset,Growth Mindset / College Readiness / AI Lessons,,{}
EM7,em7_m2_d11_curr2_main,em7_m2,11,curriculum_block,Investigation,em7_m2_s1,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m2_d11_curr2_paper,em7_m2,11,curriculum_block,Adding Integers with Zero Pairs,em7_m2_s1,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d11_curr3_main,em7_m2,11,curriculum_block,Khan Academy,em7_m2_s1,"{""block_position"": ""special_case_50""}"
EM7,em7_m2_d11_curr3_paper,em7_m2,11,curriculum_block,Adding and Subtracting Integers & Reflection,em7_m2_s1,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d12_welcome,em7_m2,12,welcome,Which One Doesn't Belong? Day 12,,{}
EM7,em7_m2_d12_wod,em7_m2,12,word_of_day,Horizontal,em7_m2_s2,{}
EM7,em7_m2_d12_nt,em7_m2,12,number_talk,25% of 20,,{}
EM7,em7_m2_d12_curr1_main,em7_m2,12,curriculum_block,Launch & Task,em7_m2_s2,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m2_d12_curr1_paper,em7_m2,12,curriculum_block,Hotel Elevator,em7_m2_s2,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d12_mt,em7_m2,12,math_talk,Number Talk Day 12,em7_m2_s2,{}
EM7,em7_m2_d12_gm,em7_m2,12,growth_mindset,Growth Mindset / College Readiness / AI Lessons,,{}
EM7,em7_m2_d12_curr2_main,em7_m2,12,curriculum_block,Re-engagement,em7_m2_s2,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m2_d12_curr2_paper,em7_m2,12,curriculum_block,Hotel Elevator,em7_m2_s2,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d12_curr3_main,em7_m2,12,curriculum_block,Online Game,em7_m2_s2,"{""block_position"": ""special_case_50""}"
EM7,em7_m2_d12_curr3_paper,em7_m2,12,curriculum_block,Orbit-Adding Integer Game,em7_m2_s2,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d13_welcome,em7_m2,13,welcome,Which One Doesn't Belong? Day 13,,{}
EM7,em7_m2_d13_wod,em7_m2,13,word_of_day,Absolute Value,em7_m2_s3,{}
EM7,em7_m2_d13_nt,em7_m2,13,number_talk,10% of 50,,{}
EM7,em7_m2_d13_curr1_main,em7_m2,13,curriculum_block,Launch & Task,em7_m2_s3,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m2_d13_curr1_paper,em7_m2,13,curriculum_block,Tracking Stocks,em7_m2_s3,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d13_mt,em7_m2,13,math_talk,Agree or Disagree,em7_m2_s3,{}
EM7,em7_m2_d13_gm,em7_m2,13,growth_mindset,Growth Mindset / College Readiness / AI Lessons,,{}
